frameNum="0" vmaf="93.702552"
frameNum="30" vmaf="100.000000"
frameNum="60" vmaf="100.000000"
frameNum="90" vmaf="100.000000"
frameNum="120" vmaf="100.000000"
frameNum="150" vmaf="100.000000"
frameNum="180" vmaf="100.000000"
frameNum="210" vmaf="100.000000"
frameNum="240" vmaf="100.000000"
frameNum="270" vmaf="100.000000"
frameNum="300" vmaf="92.153214"
frameNum="330" vmaf="94.358971"
frameNum="360" vmaf="99.461328"
frameNum="390" vmaf="100.000000"
frameNum="420" vmaf="100.000000"
frameNum="450" vmaf="100.000000"
frameNum="480" vmaf="100.000000"
frameNum="510" vmaf="100.000000"
frameNum="540" vmaf="100.000000"
frameNum="570" vmaf="100.000000"
