frameNum="0" vmaf="95.797609"
frameNum="30" vmaf="84.684335"
frameNum="60" vmaf="84.070422"
frameNum="90" vmaf="83.097971"
frameNum="120" vmaf="82.700653"
frameNum="150" vmaf="82.663811"
frameNum="180" vmaf="82.485804"
frameNum="210" vmaf="83.792055"
frameNum="240" vmaf="83.967553"
frameNum="270" vmaf="86.219320"
frameNum="300" vmaf="84.496038"
frameNum="330" vmaf="85.791843"
frameNum="360" vmaf="84.909243"
frameNum="390" vmaf="88.947891"
frameNum="420" vmaf="91.135950"
frameNum="450" vmaf="91.135460"
frameNum="480" vmaf="86.352278"
