frameNum="0" vmaf="96.630478"
frameNum="2" vmaf="100.000000"
frameNum="4" vmaf="100.000000"
frameNum="6" vmaf="98.937662"
frameNum="8" vmaf="92.947461"
frameNum="10" vmaf="91.289212"
frameNum="12" vmaf="87.169236"
frameNum="14" vmaf="86.470027"
frameNum="16" vmaf="86.480186"
frameNum="18" vmaf="86.442036"
frameNum="20" vmaf="86.643165"
frameNum="22" vmaf="87.530378"
frameNum="24" vmaf="87.585640"
frameNum="26" vmaf="87.161723"
frameNum="28" vmaf="83.595892"
frameNum="30" vmaf="84.494812"
frameNum="32" vmaf="84.245913"
frameNum="34" vmaf="84.367956"
frameNum="36" vmaf="85.833344"
frameNum="38" vmaf="89.329178"
frameNum="40" vmaf="90.533979"
frameNum="42" vmaf="90.498653"
frameNum="44" vmaf="87.942896"
frameNum="46" vmaf="88.187290"
frameNum="48" vmaf="88.551709"
frameNum="50" vmaf="88.333882"
frameNum="52" vmaf="87.671901"
frameNum="54" vmaf="87.820204"
frameNum="56" vmaf="87.664617"
frameNum="58" vmaf="87.687134"
frameNum="60" vmaf="83.078434"
frameNum="62" vmaf="81.962203"
frameNum="64" vmaf="87.144023"
frameNum="66" vmaf="86.945417"
frameNum="68" vmaf="84.128288"
frameNum="70" vmaf="84.570817"
frameNum="72" vmaf="85.098778"
frameNum="74" vmaf="86.155284"
frameNum="76" vmaf="88.145268"
frameNum="78" vmaf="89.494280"
frameNum="80" vmaf="87.573790"
frameNum="82" vmaf="86.287342"
frameNum="84" vmaf="85.371402"
frameNum="86" vmaf="83.832044"
frameNum="88" vmaf="82.534515"
frameNum="90" vmaf="82.298106"
frameNum="92" vmaf="82.547846"
frameNum="94" vmaf="82.409879"
frameNum="96" vmaf="83.784569"
frameNum="98" vmaf="88.615598"
frameNum="100" vmaf="99.777824"
frameNum="102" vmaf="100.000000"
frameNum="104" vmaf="100.000000"
frameNum="106" vmaf="93.926158"
frameNum="108" vmaf="90.237638"
frameNum="110" vmaf="88.136757"
frameNum="112" vmaf="85.810402"
frameNum="114" vmaf="84.414685"
frameNum="116" vmaf="87.732611"
frameNum="118" vmaf="88.114070"
frameNum="120" vmaf="90.175557"
frameNum="122" vmaf="91.111099"
frameNum="124" vmaf="89.428285"
frameNum="126" vmaf="88.901393"
frameNum="128" vmaf="90.436751"
frameNum="130" vmaf="92.274580"
frameNum="132" vmaf="90.393514"
frameNum="134" vmaf="89.935411"
frameNum="136" vmaf="86.927303"
frameNum="138" vmaf="87.701315"
frameNum="140" vmaf="92.104022"
frameNum="142" vmaf="93.993557"
frameNum="144" vmaf="94.764781"
frameNum="146" vmaf="94.655459"
frameNum="148" vmaf="94.533282"
frameNum="150" vmaf="94.618211"
frameNum="152" vmaf="95.714052"
frameNum="154" vmaf="95.023398"
frameNum="156" vmaf="91.324438"
frameNum="158" vmaf="89.845945"
frameNum="160" vmaf="89.564241"
frameNum="162" vmaf="90.013916"
frameNum="164" vmaf="90.186161"
frameNum="166" vmaf="90.524724"
frameNum="168" vmaf="89.988539"
frameNum="170" vmaf="89.647622"
frameNum="172" vmaf="90.247790"
frameNum="174" vmaf="90.310390"
frameNum="176" vmaf="93.967165"
frameNum="178" vmaf="95.986136"
frameNum="180" vmaf="96.049245"
frameNum="182" vmaf="94.600032"
frameNum="184" vmaf="92.320879"
frameNum="186" vmaf="93.816785"
frameNum="188" vmaf="94.796239"
frameNum="190" vmaf="97.038883"
frameNum="192" vmaf="99.027224"
frameNum="194" vmaf="94.372217"
frameNum="196" vmaf="92.983090"
frameNum="198" vmaf="92.727953"
frameNum="200" vmaf="90.540690"
frameNum="202" vmaf="89.307209"
frameNum="204" vmaf="89.359973"
frameNum="206" vmaf="88.346474"
frameNum="208" vmaf="87.830808"
frameNum="210" vmaf="87.079818"
frameNum="212" vmaf="86.651601"
frameNum="214" vmaf="87.402541"
frameNum="216" vmaf="92.402480"
frameNum="218" vmaf="95.012963"
frameNum="220" vmaf="94.598116"
frameNum="222" vmaf="94.813406"
frameNum="224" vmaf="93.625914"
frameNum="226" vmaf="90.342020"
frameNum="228" vmaf="85.565852"
frameNum="230" vmaf="84.944201"
frameNum="232" vmaf="84.941172"
frameNum="234" vmaf="88.684506"
frameNum="236" vmaf="88.706892"
frameNum="238" vmaf="81.963648"
frameNum="240" vmaf="83.166620"
frameNum="242" vmaf="88.079772"
frameNum="244" vmaf="88.491380"
frameNum="246" vmaf="84.316664"
frameNum="248" vmaf="84.147942"
frameNum="250" vmaf="98.366726"
frameNum="252" vmaf="95.650047"
frameNum="254" vmaf="97.477080"
frameNum="256" vmaf="88.068774"
frameNum="258" vmaf="86.241976"
frameNum="260" vmaf="93.200386"
frameNum="262" vmaf="94.681773"
frameNum="264" vmaf="90.903628"
frameNum="266" vmaf="87.723686"
frameNum="268" vmaf="88.941145"
frameNum="270" vmaf="89.553170"
frameNum="272" vmaf="86.976055"
frameNum="274" vmaf="83.476012"
frameNum="276" vmaf="80.576305"
frameNum="278" vmaf="79.119693"
frameNum="280" vmaf="80.177479"
frameNum="282" vmaf="81.502191"
frameNum="284" vmaf="83.417019"
frameNum="286" vmaf="84.936255"
frameNum="288" vmaf="86.613526"
frameNum="290" vmaf="88.414133"
frameNum="292" vmaf="90.444544"
frameNum="294" vmaf="90.413410"
frameNum="296" vmaf="89.351964"
frameNum="298" vmaf="89.201623"
