frameNum="0" vmaf="96.588278"
frameNum="10" vmaf="98.877666"
frameNum="20" vmaf="97.626535"
frameNum="30" vmaf="100.000000"
frameNum="40" vmaf="98.741510"
frameNum="50" vmaf="97.166868"
frameNum="60" vmaf="99.725733"
frameNum="70" vmaf="95.064523"
frameNum="80" vmaf="97.730043"
frameNum="90" vmaf="98.985626"
frameNum="100" vmaf="100.000000"
frameNum="110" vmaf="100.000000"
frameNum="120" vmaf="96.291976"
frameNum="130" vmaf="99.466488"
frameNum="140" vmaf="99.243853"
frameNum="150" vmaf="100.000000"
frameNum="160" vmaf="100.000000"
frameNum="170" vmaf="100.000000"
frameNum="180" vmaf="97.827458"
frameNum="190" vmaf="95.567929"
frameNum="200" vmaf="100.000000"
frameNum="210" vmaf="85.943026"
frameNum="220" vmaf="78.836750"
frameNum="230" vmaf="80.724692"
frameNum="240" vmaf="77.839051"
frameNum="250" vmaf="83.418550"
frameNum="260" vmaf="74.331237"
frameNum="270" vmaf="73.809085"
frameNum="280" vmaf="69.427052"
frameNum="290" vmaf="65.486286"
