frameNum="0" vmaf="95.711079"
frameNum="10" vmaf="91.885375"
frameNum="20" vmaf="92.354778"
frameNum="30" vmaf="92.797208"
frameNum="40" vmaf="91.677651"
frameNum="50" vmaf="90.381695"
frameNum="60" vmaf="90.004571"
frameNum="70" vmaf="89.891600"
frameNum="80" vmaf="89.971012"
frameNum="90" vmaf="90.254306"
frameNum="100" vmaf="89.925051"
frameNum="110" vmaf="90.019466"
frameNum="120" vmaf="89.898001"
frameNum="130" vmaf="89.744562"
frameNum="140" vmaf="90.121204"
frameNum="150" vmaf="90.182826"
frameNum="160" vmaf="90.319216"
frameNum="170" vmaf="90.383414"
frameNum="180" vmaf="91.105040"
frameNum="190" vmaf="91.361073"
frameNum="200" vmaf="91.619302"
frameNum="210" vmaf="91.864775"
frameNum="220" vmaf="92.099658"
frameNum="230" vmaf="92.229613"
frameNum="240" vmaf="92.460656"
frameNum="250" vmaf="94.640960"
frameNum="260" vmaf="98.870616"
frameNum="270" vmaf="92.577039"
frameNum="280" vmaf="88.911190"
frameNum="290" vmaf="89.136366"
frameNum="300" vmaf="89.751082"
frameNum="310" vmaf="89.971020"
frameNum="320" vmaf="90.254241"
frameNum="330" vmaf="90.551309"
frameNum="340" vmaf="90.561513"
frameNum="350" vmaf="90.320655"
frameNum="360" vmaf="90.600465"
frameNum="370" vmaf="90.528709"
frameNum="380" vmaf="91.256491"
frameNum="390" vmaf="91.148319"
frameNum="400" vmaf="91.120719"
frameNum="410" vmaf="90.751015"
frameNum="420" vmaf="90.887269"
frameNum="430" vmaf="90.914921"
frameNum="440" vmaf="90.532471"
frameNum="450" vmaf="90.474728"
frameNum="460" vmaf="90.462473"
frameNum="470" vmaf="96.600616"
frameNum="480" vmaf="90.770862"
frameNum="490" vmaf="91.219679"
frameNum="500" vmaf="93.991139"
frameNum="510" vmaf="91.674897"
frameNum="520" vmaf="90.830158"
frameNum="530" vmaf="90.081899"
frameNum="540" vmaf="90.482146"
frameNum="550" vmaf="90.163900"
frameNum="560" vmaf="90.349189"
frameNum="570" vmaf="90.292439"
frameNum="580" vmaf="90.515745"
frameNum="590" vmaf="90.045025"
frameNum="600" vmaf="90.381230"
frameNum="610" vmaf="90.114155"
frameNum="620" vmaf="90.478003"
frameNum="630" vmaf="90.228250"
frameNum="640" vmaf="90.450087"
frameNum="650" vmaf="90.294811"
frameNum="660" vmaf="90.701930"
frameNum="670" vmaf="90.510255"
frameNum="680" vmaf="90.652194"
frameNum="690" vmaf="95.002265"
frameNum="700" vmaf="89.934978"
frameNum="710" vmaf="88.395459"
frameNum="720" vmaf="87.637340"
frameNum="730" vmaf="87.835543"
frameNum="740" vmaf="85.165649"
frameNum="750" vmaf="90.959390"
frameNum="760" vmaf="87.559219"
frameNum="770" vmaf="87.583394"
frameNum="780" vmaf="87.497038"
frameNum="790" vmaf="87.458729"
frameNum="800" vmaf="86.069222"
frameNum="810" vmaf="86.692300"
frameNum="820" vmaf="86.940377"
frameNum="830" vmaf="86.834619"
frameNum="840" vmaf="86.054684"
frameNum="850" vmaf="86.245731"
frameNum="860" vmaf="86.592690"
frameNum="870" vmaf="86.475111"
frameNum="880" vmaf="86.444240"
frameNum="890" vmaf="86.369149"
