frameNum="0" vmaf="95.853394"
frameNum="10" vmaf="98.476215"
frameNum="20" vmaf="98.883006"
frameNum="30" vmaf="98.766636"
frameNum="40" vmaf="98.042391"
frameNum="50" vmaf="97.854264"
frameNum="60" vmaf="97.449994"
frameNum="70" vmaf="97.244339"
frameNum="80" vmaf="97.628211"
frameNum="90" vmaf="97.674137"
frameNum="100" vmaf="96.480186"
frameNum="110" vmaf="97.137295"
frameNum="120" vmaf="96.798212"
frameNum="130" vmaf="96.105545"
frameNum="140" vmaf="96.496978"
frameNum="150" vmaf="95.813482"
frameNum="160" vmaf="96.397245"
frameNum="170" vmaf="96.738521"
frameNum="180" vmaf="96.353807"
frameNum="190" vmaf="96.696685"
frameNum="200" vmaf="96.248247"
frameNum="210" vmaf="97.754616"
frameNum="220" vmaf="98.081917"
frameNum="230" vmaf="97.486811"
frameNum="240" vmaf="97.945301"
frameNum="250" vmaf="98.756526"
frameNum="260" vmaf="99.165212"
frameNum="270" vmaf="99.076206"
frameNum="280" vmaf="97.412905"
frameNum="290" vmaf="96.242593"
frameNum="300" vmaf="96.665142"
frameNum="310" vmaf="96.800941"
frameNum="320" vmaf="97.157865"
frameNum="330" vmaf="96.973478"
frameNum="340" vmaf="97.349962"
frameNum="350" vmaf="96.875404"
frameNum="360" vmaf="97.207823"
frameNum="370" vmaf="97.399518"
frameNum="380" vmaf="97.073065"
frameNum="390" vmaf="96.829668"
frameNum="400" vmaf="96.826539"
frameNum="410" vmaf="97.038076"
frameNum="420" vmaf="97.080149"
frameNum="430" vmaf="97.308941"
frameNum="440" vmaf="97.073396"
frameNum="450" vmaf="97.314750"
frameNum="460" vmaf="97.098864"
frameNum="470" vmaf="96.908987"
frameNum="480" vmaf="96.976954"
frameNum="490" vmaf="100.000000"
frameNum="500" vmaf="99.620725"
frameNum="510" vmaf="99.118159"
frameNum="520" vmaf="99.270245"
frameNum="530" vmaf="99.409012"
frameNum="540" vmaf="99.370371"
frameNum="550" vmaf="99.828111"
frameNum="560" vmaf="99.595347"
frameNum="570" vmaf="99.718716"
frameNum="580" vmaf="100.000000"
frameNum="590" vmaf="99.737146"
