frameNum="0" vmaf="96.183453"
frameNum="10" vmaf="95.268823"
frameNum="20" vmaf="95.383066"
frameNum="30" vmaf="96.060350"
frameNum="40" vmaf="96.097645"
frameNum="50" vmaf="96.212586"
frameNum="60" vmaf="96.472271"
frameNum="70" vmaf="96.532738"
frameNum="80" vmaf="95.493125"
frameNum="90" vmaf="96.894235"
frameNum="100" vmaf="97.721324"
frameNum="110" vmaf="96.721389"
frameNum="120" vmaf="96.909618"
frameNum="130" vmaf="96.673499"
frameNum="140" vmaf="96.380567"
frameNum="150" vmaf="95.504127"
frameNum="160" vmaf="96.959139"
frameNum="170" vmaf="96.955019"
frameNum="180" vmaf="97.178160"
frameNum="190" vmaf="97.567091"
frameNum="200" vmaf="94.975238"
frameNum="210" vmaf="95.867318"
frameNum="220" vmaf="95.951721"
frameNum="230" vmaf="96.020201"
