frameNum="0" vmaf="96.153727"
frameNum="5" vmaf="95.878076"
frameNum="10" vmaf="95.834901"
frameNum="15" vmaf="95.444815"
frameNum="20" vmaf="95.368898"
frameNum="25" vmaf="95.588048"
frameNum="30" vmaf="95.632209"
frameNum="35" vmaf="95.258965"
frameNum="40" vmaf="94.929896"
frameNum="45" vmaf="95.291925"
frameNum="50" vmaf="94.790666"
frameNum="55" vmaf="94.961921"
frameNum="60" vmaf="95.819101"
frameNum="65" vmaf="95.719257"
frameNum="70" vmaf="96.111973"
frameNum="75" vmaf="95.938693"
frameNum="80" vmaf="96.060427"
frameNum="85" vmaf="95.845673"
frameNum="90" vmaf="95.870243"
frameNum="95" vmaf="96.089172"
frameNum="100" vmaf="96.225167"
frameNum="105" vmaf="96.393738"
frameNum="110" vmaf="96.321232"
frameNum="115" vmaf="96.194104"
frameNum="120" vmaf="96.437099"
frameNum="125" vmaf="96.333979"
frameNum="130" vmaf="96.248430"
frameNum="135" vmaf="96.561697"
frameNum="140" vmaf="95.660784"
frameNum="145" vmaf="95.603822"
frameNum="150" vmaf="95.988480"
frameNum="155" vmaf="96.199281"
frameNum="160" vmaf="95.612187"
frameNum="165" vmaf="95.737630"
frameNum="170" vmaf="96.040011"
frameNum="175" vmaf="95.762423"
frameNum="180" vmaf="96.115720"
frameNum="185" vmaf="96.094229"
frameNum="190" vmaf="96.306704"
frameNum="195" vmaf="96.044155"
frameNum="200" vmaf="95.889265"
frameNum="205" vmaf="96.118607"
frameNum="210" vmaf="96.411133"
frameNum="215" vmaf="95.797508"
frameNum="220" vmaf="96.090509"
frameNum="225" vmaf="95.815254"
frameNum="230" vmaf="95.967038"
frameNum="235" vmaf="95.586077"
frameNum="240" vmaf="95.910584"
frameNum="245" vmaf="96.214345"
frameNum="250" vmaf="96.987629"
frameNum="255" vmaf="95.620027"
frameNum="260" vmaf="95.831327"
frameNum="265" vmaf="95.985998"
frameNum="270" vmaf="96.170296"
frameNum="275" vmaf="96.358672"
frameNum="280" vmaf="96.410367"
frameNum="285" vmaf="95.969174"
frameNum="290" vmaf="96.200065"
frameNum="295" vmaf="96.050684"
frameNum="300" vmaf="96.314200"
frameNum="305" vmaf="96.006953"
frameNum="310" vmaf="95.817843"
frameNum="315" vmaf="95.898940"
frameNum="320" vmaf="95.837458"
frameNum="325" vmaf="96.121263"
frameNum="330" vmaf="96.009307"
frameNum="335" vmaf="95.766452"
frameNum="340" vmaf="96.029611"
frameNum="345" vmaf="95.949912"
frameNum="350" vmaf="95.944246"
frameNum="355" vmaf="96.047315"
frameNum="360" vmaf="95.977039"
frameNum="365" vmaf="95.955638"
frameNum="370" vmaf="96.200387"
frameNum="375" vmaf="96.143689"
frameNum="380" vmaf="96.147578"
frameNum="385" vmaf="95.577183"
frameNum="390" vmaf="95.465351"
frameNum="395" vmaf="95.569841"
frameNum="400" vmaf="95.686009"
frameNum="405" vmaf="95.502221"
frameNum="410" vmaf="95.693953"
frameNum="415" vmaf="95.709092"
frameNum="420" vmaf="96.229537"
frameNum="425" vmaf="95.615128"
frameNum="430" vmaf="95.692356"
frameNum="435" vmaf="95.591153"
frameNum="440" vmaf="95.554351"
frameNum="445" vmaf="95.610679"
frameNum="450" vmaf="95.304486"
frameNum="455" vmaf="95.235556"
frameNum="460" vmaf="95.347079"
frameNum="465" vmaf="95.459919"
frameNum="470" vmaf="95.513687"
frameNum="475" vmaf="95.398965"
frameNum="480" vmaf="95.453961"
frameNum="485" vmaf="95.412860"
frameNum="490" vmaf="95.379922"
frameNum="495" vmaf="95.547774"
frameNum="500" vmaf="96.372120"
frameNum="505" vmaf="95.237317"
frameNum="510" vmaf="95.549551"
frameNum="515" vmaf="95.500669"
frameNum="520" vmaf="95.300485"
frameNum="525" vmaf="95.430769"
frameNum="530" vmaf="95.477181"
frameNum="535" vmaf="95.565058"
frameNum="540" vmaf="95.595729"
frameNum="545" vmaf="95.500636"
frameNum="550" vmaf="95.331965"
frameNum="555" vmaf="95.375621"
frameNum="560" vmaf="95.640208"
frameNum="565" vmaf="94.954862"
frameNum="570" vmaf="94.558784"
frameNum="575" vmaf="95.033847"
frameNum="580" vmaf="95.016358"
frameNum="585" vmaf="94.900412"
frameNum="590" vmaf="95.040456"
frameNum="595" vmaf="94.991733"
